model,fold,train_end,val_start,val_end,fit_seconds,predict_ms_per_1k_rows,model_size_kb,mae,rmse,wape,bias,peak_mae,n_obs,peak_threshold
last_value,0,2016-02-10 14:20:00,2016-02-10 14:30:00,2016-03-10 11:50:00,0.0,0.02,0.1,58.82239846190819,116.43775393202756,0.6132645135426323,0.03364575823119442,251.437125748503,4161,250.0
last_value,1,2016-03-10 11:50:00,2016-03-10 12:00:00,2016-04-08 09:20:00,0.0,0.02,0.1,53.758711848113435,114.4058767647366,0.5437155149364381,-0.026435952895938475,249.94565217391303,4161,220.0
last_value,2,2016-04-08 09:20:00,2016-04-08 09:30:00,2016-05-07 07:20:00,0.0,0.01,0.1,53.55427473583093,114.18465924676866,0.5537071063216964,-0.10086455331412104,257.1508379888268,4164,210.0
seasonal_naive,0,2016-02-10 14:20:00,2016-02-10 14:30:00,2016-03-10 11:50:00,0.0,0.04,0.1,63.42225426580149,124.03397446053177,0.6612212172082884,0.8940158615717375,262.2455089820359,4161,250.0
seasonal_naive,1,2016-03-10 11:50:00,2016-03-10 12:00:00,2016-04-08 09:20:00,0.0,0.03,0.1,64.44364335496275,131.17286531905359,0.651782892977808,0.4830569574621485,272.5,4161,220.0
seasonal_naive,2,2016-04-08 09:20:00,2016-04-08 09:30:00,2016-05-07 07:20:00,0.0,0.03,0.1,56.31844380403458,119.63932749709743,0.5822863385807221,-1.1311239193083573,250.5586592178771,4164,210.0
ridge,0,2016-02-10 14:20:00,2016-02-10 14:30:00,2016-03-10 11:50:00,0.017,0.79,3.5,65.18459923106697,96.9468673674097,0.6795948921361772,3.5706180020194815,219.1146566899481,4161,250.0
ridge,1,2016-03-10 11:50:00,2016-03-10 12:00:00,2016-04-08 09:20:00,0.004,0.28,3.5,50.7328633638211,93.63923678895861,0.5131120888088758,-25.940891880362283,240.7366740846209,4161,220.0
ridge,2,2016-04-08 09:20:00,2016-04-08 09:30:00,2016-05-07 07:20:00,0.004,0.22,3.5,46.83810360076578,87.14454741061722,0.4842674266116817,-0.6177703697600423,221.287495027399,4164,210.0
hgb,0,2016-02-10 14:20:00,2016-02-10 14:30:00,2016-03-10 11:50:00,2.521,5.09,1143.5,53.29231690548251,91.08484752437393,0.5556095578755549,5.561307136149603,234.67113377364882,4161,250.0
hgb,1,2016-03-10 11:50:00,2016-03-10 12:00:00,2016-04-08 09:20:00,2.444,6.08,1144.6,39.14827675020846,90.79006326088884,0.39594560063590434,-17.26870593067937,251.66879729013553,4161,220.0
hgb,2,2016-04-08 09:20:00,2016-04-08 09:30:00,2016-05-07 07:20:00,2.713,6.37,1145.0,39.427489379274284,87.55565680243254,0.4076477771646674,-11.201622071988643,230.65068889471868,4164,210.0
